Neighborhood,Price,Bedrooms,Bathrooms,House Size,Description
Uptown Manhattan,"$1,250,000",3,2,"1,500 sqft","Luxury apartment with beautiful city views, featuring a modern kitchen, spacious living area, rooftop access, and a fitness center in the building."
Palm Beach Gardens,"$850,000",4,3.5,"3,000 sqft","Charming single-family home with a large backyard, updated kitchen, main level master suite, swimming pool and a 2-car garage, minutes away from the beach."
Beverly Hills,"$8,500,000",5,6,"6,900 sqft","Elegant mansion with a guest house, luxurious finishes, a swimming pool, home theater, wine cellar, and a 3-car garage, located in a prestigious gated community."
Lincoln Park,"$550,000",2,2,"1,300 sqft","Warm and welcoming condo featuring a modern design, upgraded kitchen with stainless steel appliances, hardwood floors, and just walking distance to shopping and dining."
"Westlake, Austin","$1,100,000",4,3.5,"2,800 sqft","Beautiful traditional brick home with a spacious yard, open floor plan, chic fireplace, and an expansive deck with panoramic views."
"Capitol Hill, Seattle","$750,000",3,2,"1,700 sqft","Charming townhome in the heart of the city with gourmet kitchen, fenced backyard, and off-street parking, close to public transportation and nightlife."
"SoHo, New York","$2,500,000",2,2.5,"2,000 sqft","Loft-style apartment with high ceilings, exposed brick walls, oversized windows, chef's kitchen, and a rooftop terrace in an iconic neighborhood."
"West End, Vancouver","$1,350,000",3,2.5,"1,800 sqft","An inviting condo with an open-concept living area, updated kitchen, private balcony, with spectacular ocean views in a pet-friendly building."
"Chestnut Hill, Boston","$1,200,000",4,3,"2,500 sqft","Historic Victorian home with period details, an updated kitchen, fenced yard, fireplace, and a detached garage, close to parks and schools."
"Georgetown, Washington D.C.","$2,000,000",4,3.5,"3,200 sqft","A gorgeous row house featuring a gourmet kitchen, hardwood floors, private patio, and off-street parking located in a renowned historic neighborhood."
